"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://leon-international.com/metal-stitching/","1","Repairing cracked or broken cast iron engine blocks without heat.","65","412","Indexable",""
"https://leon-international.com/mtu-parts/","1","Genuine and OEM replacement parts for MTU marine diesel engines.","64","435","Indexable",""
"https://leon-international.com/custom-parts-fabrication/","1","Reverse engineering and machining of obsolete mechanical components.","68","466","Indexable",""
"https://leon-international.com/volvo-penta-parts/","1","Filters, belts, and major overhaul components for Volvo Penta.","62","393","Indexable",""
"https://leon-international.com/deck-machinery-overhauling/","1","Complete mechanical services for diverse deck machinery systems.","64","431","Indexable",""
"https://leon-international.com/petroleum-equipment/","1","Specialized fittings, hoses, and measurement tools for oil handling.","68","423","Indexable",""
"https://leon-international.com/main-engine-spares/","1","Critical spares for heavy propulsion marine diesel engines.","59","369","Indexable",""
"https://leon-international.com/motor-rewinding/","1","Precision AC/DC motor rewinding and testing services.","53","347","Indexable",""
"https://leon-international.com/explosion-proof/","1","ATEX-certified lighting and electrical fittings for hazardous areas.","68","410","Indexable",""
"https://leon-international.com/ac-plant-repair/","1","Compressor overhaul and refrigerant management for central AC plants.","69","461","Indexable",""
"https://leon-international.com/perkins-parts/","1","Complete range of spares for Perkins auxiliary marine engines.","62","398","Indexable",""
"https://leon-international.com/diesel-generators/","1","Complete gensets and replacement parts for reliable onboard power.","66","438","Indexable",""
"https://leon-international.com/caterpillar-parts/","1","Fast delivery of parts for CAT 3400, 3500, and C-series engines.","64","402","Indexable",""
"https://leon-international.com/electrical-equipment/","1","Switches, breakers, sensors, and full automation system components.","67","445","Indexable",""
"https://leon-international.com/deutz-parts/","1","Specialized parts distributor for DEUTZ legacy and modern engines.","66","428","Indexable",""
"https://leon-international.com/crane-inspection/","1","Visual and mechanical inspection of marine hoisting equipment.","62","405","Indexable",""
"https://leon-international.com/welding-services/","1","Class-approved welding solutions by certified technicians.","58","366","Indexable",""
"https://leon-international.com/gyro-compass-overhauling/","1","Overhauling and calibration of marine gyro compass systems.","59","391","Indexable",""
"https://leon-international.com/sandblasting/","1","Grit and hydro blasting to prepare hull surfaces for painting.","62","374","Indexable",""
"https://leon-international.com/navigation-systems/","1","Radars, ECDIS, VHF, and GMDSS equipment for safe vessel operation.","66","444","Indexable",""
"https://leon-international.com/magnetic-particle-inspection/","1","Surface defect detection using magnetic particle testing methods.","65","419","Indexable",""
"https://leon-international.com/cummins-parts/","1","Reliable parts supply for Cummins KTA, NTA, and QSK series engines.","67","442","Indexable",""
"https://leon-international.com/air-compressors/","1","Starting air, working air compressor blocks, and overhaul kits.","63","387","Indexable",""
"https://leon-international.com/mwm-parts/","1","Sourcing OEM-quality parts for MWM gas and diesel engines.","58","386","Indexable",""
"https://leon-international.com/auxiliary-engines/","1","Parts for marine generator sets covering all leading brands.","60","374","Indexable",""
"https://leon-international.com/buoys-fabrication/","1","Design and construction of heavy-duty mooring and navigation buoys.","67","442","Indexable",""
"https://leon-international.com/vessel-repair-anchorage/","1","Fast-response afloat repair services performed at anchorage.","60","389","Indexable",""
"https://leon-international.com/cold-storage-repair/","1","Ensuring reliable operation of provision room cooling systems.","62","393","Indexable",""
"https://leon-international.com/deck-machinery/","1","Motors, brakes, and control blocks for winches and windlasses.","62","399","Indexable",""
"https://leon-international.com/propulsion-systems/","1","Propellers, stern tubes, and bow thruster components.","53","344","Indexable",""
"https://leon-international.com/transformer-rewinding/","1","Specialized repair and rewinding of marine high-voltage transformers.","69","442","Indexable",""
