"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://leon-international.com/volvo-penta-parts/","1","Filters, belts, and major overhaul components for Volvo Penta.","62","393","Indexable",""
"https://leon-international.com/main-engine-spares/","1","Critical spares for heavy propulsion marine diesel engines.","59","369","Indexable",""
"https://leon-international.com/motor-rewinding/","1","Precision AC/DC motor rewinding and testing services.","53","347","Indexable",""
"https://leon-international.com/perkins-parts/","1","Complete range of spares for Perkins auxiliary marine engines.","62","398","Indexable",""
"https://leon-international.com/welding-services/","1","Class-approved welding solutions by certified technicians.","58","366","Indexable",""
"https://leon-international.com/gyro-compass-overhauling/","1","Overhauling and calibration of marine gyro compass systems.","59","391","Indexable",""
"https://leon-international.com/sandblasting/","1","Grit and hydro blasting to prepare hull surfaces for painting.","62","374","Indexable",""
"https://leon-international.com/air-compressors/","1","Starting air, working air compressor blocks, and overhaul kits.","63","387","Indexable",""
"https://leon-international.com/mwm-parts/","1","Sourcing OEM-quality parts for MWM gas and diesel engines.","58","386","Indexable",""
"https://leon-international.com/auxiliary-engines/","1","Parts for marine generator sets covering all leading brands.","60","374","Indexable",""
"https://leon-international.com/vessel-repair-anchorage/","1","Fast-response afloat repair services performed at anchorage.","60","389","Indexable",""
"https://leon-international.com/cold-storage-repair/","1","Ensuring reliable operation of provision room cooling systems.","62","393","Indexable",""
"https://leon-international.com/deck-machinery/","1","Motors, brakes, and control blocks for winches and windlasses.","62","399","Indexable",""
"https://leon-international.com/propulsion-systems/","1","Propellers, stern tubes, and bow thruster components.","53","344","Indexable",""
